A060720,KH바텍,IT 장비 및 소재,Y,N,N,N
A112040,위메이드,미디어 및 엔터,Y,N,N,N
A105630,한세실업,섬유 및 의류,Y,N,N,N
A101490,에스앤에스텍,디스플레이 장비 및 부품,Y,N,N,N
A122870,와이지엔터테인먼트,미디어 및 엔터,Y,N,N,N
A144510,녹십자랩셀,제약 및 바이오,Y,N,N,N
A003540,대신증권,금융,Y,N,Y,N
A052260,SK바이오랜드,가정용품,Y,N,N,N
A006390,한일현대시멘트,건설 및 건축자재,Y,N,N,N
A042000,카페24,IT서비스,Y,N,N,N
A000400,롯데손해보험,금융,Y,N,Y,N
A033290,코웰패션,섬유 및 의류,Y,N,N,N
A214450,파마리서치프로덕트,제약 및 바이오,Y,N,N,N
A031390,녹십자셀,제약 및 바이오,Y,N,N,N
A089590,제주항공,운송 및 물류,Y,N,N,N
A091700,파트론,IT 장비 및 소재,Y,N,N,N
A036420,제이콘텐트리,미디어 및 엔터,Y,N,N,N
A294140,레몬,화학,Y,N,N,N
A082640,동양생명,금융,Y,N,Y,N
A029960,코엔텍,일반서비스,Y,N,N,N
A084370,유진테크,반도체 관련장비 및 부품,Y,N,N,N
A243070,휴온스,제약 및 바이오,Y,N,N,N
A032190,다우데이타,IT서비스,Y,N,N,N
A210980,SK디앤디,일반서비스,Y,N,N,N
A263050,유틸렉스,제약 및 바이오,Y,N,N,N
A048530,인트론바이오,제약 및 바이오,Y,N,N,N
A000070,삼양홀딩스,지주사,Y,Y,N,N
A025900,동화기업,건설 및 건축자재,Y,N,N,N
A007460,에이프로젠 KIC,기계,Y,N,N,N
A003800,에이스침대,가정용품,Y,N,N,N
A097230,한진중공업,조선,Y,N,N,N
A078160,메디포스트,제약 및 바이오,Y,N,N,N
A126560,현대에이치씨엔,미디어 및 엔터,Y,N,N,N
A006060,화승인더,섬유 및 의류,Y,N,N,N
A206640,바디텍메드,의료기기 및 용품,Y,N,N,N
A178320,서진시스템,통신,Y,N,N,N
A245620,EDGC,의료기기 및 용품,Y,N,N,N
A950160,코오롱티슈진,제약 및 바이오,N,N,N,N
A095660,네오위즈,미디어 및 엔터,Y,N,N,N
A034830,한국토지신탁,일반서비스,Y,N,N,N
A138080,오이솔루션,통신,Y,N,N,N
